iter	RMSE
0	0.9811271177
1	0.9609447138
2	0.9419458822
3	0.9232633442
4	0.905002679
5	0.8885282387
6	0.872115194
7	0.8565101448
8	0.8410740208
9	0.8262966473
10	0.8107360017
11	0.796665435
12	0.7830688085
13	0.7695130789
14	0.7565802649
15	0.7441088787
16	0.7320509008
17	0.7202478663
18	0.7083123253
19	0.6964574613
20	0.6856795507
21	0.6745341019
22	0.6652358844
23	0.6559604759
24	0.6468245427
25	0.6378328235
26	0.6285220273
27	0.6193525845
28	0.6102094733
29	0.6027258814
30	0.5940836326
31	0.5874869033
32	0.5793433129
33	0.5722069468
34	0.5650042368
35	0.5582551976
36	0.5514135311
37	0.5444126512
38	0.5376586593
39	0.5317488139
40	0.5259597022
41	0.5199065838
42	0.5143075768
43	0.5091842765
44	0.5042334595
45	0.4992220973
46	0.4942261444
47	0.4897440729
48	0.4853613492
49	0.4810403449
50	0.4762625986
51	0.4717489738
52	0.4674993994
53	0.4634722568
54	0.459478754
55	0.4557689297
56	0.4519836688
57	0.4483579856
58	0.444745642
59	0.4414964598
60	0.4382964635
61	0.4355004641
62	0.4323122973
63	0.4292402306
64	0.4265711152
65	0.423882995
66	0.4215127779
67	0.4190564266
68	0.4164358181
69	0.4141014087
70	0.4115834846
71	0.4093540571
72	0.4067796541
73	0.4045501126
74	0.4023699117
75	0.4006792372
76	0.39897345
77	0.3970279564
78	0.3953247426
79	0.3936427818
80	0.391753213
81	0.3899304965
82	0.3880891565
83	0.3864315968
84	0.3851097518
85	0.3836046349
86	0.3822189754
87	0.380494855
88	0.379111877
89	0.3776002818
90	0.3762334331
91	0.374909187
92	0.3737425129
93	0.3722966746
94	0.3710903942
95	0.3699803759
96	0.3688073829
97	0.3677226618
98	0.3667327336
99	0.3657840815
100	0.3646524677
101	0.3635862186
102	0.3626069897
103	0.3615980445
104	0.3606675597
105	0.3597342909
106	0.3588826445
107	0.3581751671
108	0.3572734257
109	0.3565474184
110	0.3556790454
111	0.3549096643
112	0.3540956465
113	0.3532795844
114	0.3524805318
115	0.351818475
116	0.351159692
117	0.3504673
118	0.3497200962
119	0.3491863116
120	0.3483230491
121	0.3476954762
122	0.3470796492
123	0.3464183478
124	0.3457833335
125	0.3453124661
126	0.3447411901
127	0.3441458982
128	0.3435410965
129	0.343075293
130	0.3425440458
131	0.3420422215
132	0.3414876894
133	0.3409881343
134	0.3404641718
135	0.3400073999
136	0.3394671835
137	0.338895801
138	0.3384102978
139	0.3379845126
140	0.337439208
141	0.3370863195
142	0.3366441818
143	0.3362200814
144	0.335660168
145	0.3352579033
146	0.3349380671
147	0.3344047205
148	0.3341193108
149	0.3336058672
150	0.3333119843
151	0.3329419585
152	0.3326116508
153	0.3322852222
154	0.331918927
155	0.3315117404
156	0.3311141344
157	0.3308447681
158	0.3305803157
159	0.3302479691
160	0.3300272171
161	0.3296544011
162	0.3294359075
163	0.3291358789
164	0.3288288284
165	0.3284383377
166	0.328122987
167	0.3278595335
168	0.3274205307
169	0.3271874038
170	0.3269716351
171	0.3267029255
172	0.3264691855
173	0.3261603086
174	0.3258958895
175	0.3256330752
176	0.3253975006
177	0.325169584
178	0.3249320163
179	0.3246203334
180	0.3243437113
181	0.3241833849
182	0.323931076
183	0.323678339
184	0.3235045908
185	0.3232894942
186	0.3230072353
187	0.3227619128
188	0.3225249308
189	0.3223646292
190	0.3222585327
191	0.3220074293
192	0.3216710608
193	0.3214383264
194	0.3211893097
195	0.3208827082
196	0.3206443877
197	0.320294432
198	0.3201368214
199	0.3199135296
200	0.3194485844
201	0.3192581812
202	0.3191644558
203	0.3190580863
204	0.318974431
205	0.3187569879
206	0.3184913319
207	0.3182908308
208	0.3181724392
209	0.3179464015
210	0.3176740799
211	0.3175610511
212	0.3174062322
213	0.3171556037
214	0.3169242357
215	0.3166748507
216	0.3164214718
217	0.3163058201
218	0.3161525612
219	0.3159224783
220	0.3157313983
221	0.3154226689
222	0.3152944606
223	0.3151076703
224	0.3148569171
225	0.3146441128
226	0.3144314331
227	0.3142868709
228	0.3140739852
229	0.313796259
230	0.3134983957
231	0.3132953676
232	0.3131595343
233	0.3129789743
234	0.3127726206
235	0.3125047756
236	0.3122529215
237	0.3121394326
238	0.312027145
239	0.3118083634
240	0.3116305615
241	0.3113223999
242	0.3112105165
243	0.3110635157
244	0.3109405285
245	0.3107967019
246	0.3106229754
247	0.3103626146
248	0.3102046082
249	0.3100551224
250	0.3098755742
251	0.3096780753
252	0.3095027877
253	0.3093307166
254	0.3092166403
255	0.3090376438
256	0.3088791127
257	0.3086596307
258	0.3084951221
259	0.3083314472
260	0.3081797741
261	0.3079679907
262	0.3077706731
263	0.3074191711
264	0.3072877401
265	0.3072015717
266	0.3070678869
267	0.3069453564
268	0.3067998726
269	0.3066564584
270	0.3064873623
271	0.3062270225
272	0.3061193653
273	0.3059559539
