iter	Passed	Remaining
0	2	1324
1	4	1123
2	5	978
3	7	929
4	9	925
5	10	900
6	12	871
7	13	853
8	15	851
9	17	838
10	18	830
11	20	827
12	22	825
13	23	820
14	25	814
15	26	807
16	28	806
17	29	802
18	31	800
19	33	796
20	34	791
21	36	787
22	38	792
23	41	813
24	44	853
25	68	1246
26	70	1231
27	71	1211
28	73	1190
29	74	1174
30	76	1160
31	78	1145
32	80	1133
33	81	1123
34	83	1110
35	85	1100
36	86	1086
37	88	1072
38	89	1063
39	92	1058
40	93	1049
41	95	1039
42	96	1029
43	98	1020
44	100	1011
45	101	1005
46	103	997
47	105	991
48	106	982
49	108	974
50	110	968
51	111	962
52	113	955
53	114	949
54	116	946
55	118	940
56	120	936
57	122	931
58	124	927
59	125	922
60	127	918
61	129	915
62	131	912
63	133	908
64	135	904
65	137	901
66	138	896
67	140	892
68	142	889
69	144	885
70	146	882
71	147	879
72	149	874
73	151	870
74	152	866
75	154	864
76	156	860
77	158	856
78	159	852
79	161	848
80	163	845
81	165	842
82	167	841
83	169	839
84	171	836
85	173	832
86	175	830
87	176	828
88	178	825
89	180	823
90	182	820
91	184	820
92	186	817
93	188	814
94	190	811
95	192	810
96	194	807
97	196	805
98	198	802
99	200	800
100	202	798
101	203	795
102	205	793
103	207	790
104	209	788
105	211	785
106	213	784
107	215	781
108	216	778
109	218	775
110	220	773
111	222	771
112	224	768
113	226	766
114	227	763
115	229	761
116	232	760
117	234	758
118	236	755
119	238	754
120	240	752
121	242	750
122	244	748
123	246	747
124	248	745
125	250	744
126	252	741
127	254	739
128	256	737
129	258	736
130	260	734
131	262	732
132	264	730
133	267	729
134	269	728
135	271	725
136	272	723
137	275	721
138	277	720
139	279	717
140	280	715
141	282	712
142	284	710
143	286	707
144	287	704
145	289	701
146	291	699
147	293	697
148	294	694
149	296	691
150	298	689
151	300	687
152	301	684
153	303	682
154	305	680
155	307	678
156	309	675
157	310	672
158	312	670
159	314	668
160	316	665
161	317	663
162	319	661
163	321	658
164	323	656
165	325	654
166	327	652
167	328	649
168	330	647
169	332	645
170	334	642
171	335	640
172	337	637
173	339	635
174	340	633
175	342	630
176	344	628
177	346	626
178	348	624
179	349	622
180	351	619
181	353	617
182	355	615
183	356	613
184	358	610
185	360	608
186	361	605
187	363	603
188	365	601
189	366	598
190	368	595
191	370	593
192	372	592
193	374	590
194	376	588
195	377	586
196	379	584
197	381	581
198	383	579
199	385	577
200	386	575
201	388	573
202	390	571
203	392	569
204	394	567
205	396	565
206	398	563
207	399	561
208	401	559
209	403	557
210	405	555
211	407	553
212	409	551
213	410	548
214	412	546
215	414	544
216	416	542
217	418	540
218	419	538
219	421	536
220	423	534
221	424	532
222	426	530
223	428	528
224	430	526
225	432	524
226	434	522
227	436	520
228	438	518
229	440	516
230	442	514
231	443	512
232	445	511
233	447	509
234	450	507
235	452	506
236	454	504
237	456	502
238	458	500
239	460	499
240	462	497
241	464	495
242	466	493
243	468	491
244	470	489
245	472	487
246	474	486
247	476	484
248	478	482
249	480	480
250	482	478
251	484	477
252	486	475
253	488	473
254	490	471
255	492	469
256	494	467
257	496	465
258	499	464
259	500	462
260	502	460
261	505	458
262	507	457
263	509	455
264	511	453
265	513	451
266	515	449
267	517	448
268	519	446
269	521	444
270	523	442
271	526	441
272	528	439
273	530	437
274	532	435
275	534	433
276	536	432
