iter	RMSE
0	0.9732247329
1	0.9455848149
2	0.9191941059
3	0.894387771
4	0.8694912695
5	0.8466273283
6	0.8240387124
7	0.801925901
8	0.7823473976
9	0.7632783238
10	0.7444534518
11	0.7258863942
12	0.7083801473
13	0.6907696556
14	0.6738275033
15	0.6586082353
16	0.6440722556
17	0.6291325683
18	0.6161665999
19	0.603882546
20	0.5929412678
21	0.5806712281
22	0.5692364269
23	0.5578306115
24	0.5477379498
25	0.5381740538
26	0.5280543066
27	0.5193107884
28	0.511549051
29	0.5035145672
30	0.4950149012
31	0.4875483767
32	0.4804041596
33	0.4740033996
34	0.4672564858
35	0.4603869296
36	0.4544718785
37	0.4487447981
38	0.4436060583
39	0.4379169914
40	0.433171543
41	0.4282854189
42	0.4235942538
43	0.4200647088
44	0.4153580617
45	0.4111775294
46	0.4072908084
47	0.4032437748
48	0.3999355144
49	0.3968892723
50	0.3934458615
51	0.3904895286
52	0.3871451774
53	0.3844593421
54	0.3815858544
55	0.3789215156
56	0.3764229225
57	0.3739268761
58	0.3715164907
59	0.3693052151
60	0.3670556174
61	0.3652961672
62	0.3635074545
63	0.3616577739
64	0.359993388
65	0.3582472346
66	0.3563100389
67	0.3546479131
68	0.3529969683
69	0.3514201965
70	0.3500574011
71	0.3486842551
72	0.3476152251
73	0.3465464085
74	0.3453129855
75	0.3441050332
76	0.3427369162
77	0.3415722977
78	0.3405652211
79	0.3393976699
80	0.3383076428
81	0.3374275395
82	0.3363339444
83	0.3351856517
84	0.3342967983
85	0.3335186616
86	0.3326793917
87	0.3320024621
88	0.3311906608
89	0.330113707
90	0.3293045498
91	0.3285719518
92	0.3277092388
93	0.3270630974
94	0.3263765131
95	0.325656473
96	0.3250777462
97	0.3243968644
98	0.3237850607
99	0.3231884099
100	0.3227234772
101	0.3221594736
102	0.3217356086
103	0.3209554836
104	0.3205975572
105	0.3201387312
106	0.319553882
107	0.319179545
108	0.3184638975
109	0.3179409592
110	0.3173438009
111	0.3168550326
112	0.3162515135
113	0.3157728813
114	0.3152707846
115	0.3148030279
116	0.314259997
117	0.3139521129
118	0.3134964729
119	0.3130836993
120	0.31270533
121	0.3122708441
122	0.3117311449
123	0.3113110962
124	0.3109485927
125	0.3106641243
126	0.310074736
127	0.3095955837
128	0.3092048869
129	0.3088757284
130	0.3085722874
131	0.3081124447
132	0.3077359666
133	0.3073862084
134	0.3070316081
135	0.3066943904
136	0.3062949596
137	0.3059202803
138	0.3055903603
139	0.3053535963
140	0.3049520462
141	0.3046586838
142	0.3043940225
143	0.3040919135
144	0.3035966135
145	0.3032773367
146	0.3029723042
147	0.3026927619
148	0.3022772119
149	0.3020985411
150	0.3018427984
151	0.3014156251
152	0.3009910824
153	0.300720768
154	0.3004629803
155	0.3001486304
156	0.2998241507
157	0.2993570691
158	0.2990595546
159	0.2988515684
160	0.2984445832
161	0.2981809861
162	0.2977959902
163	0.2974640218
164	0.2972764544
165	0.2966992987
166	0.2963733627
167	0.2960064995
168	0.2957310267
169	0.295458536
170	0.2952037468
171	0.2948798767
172	0.2945777365
173	0.2942062416
174	0.2939210728
175	0.2936433215
176	0.2934027802
177	0.2931460118
178	0.2928226582
179	0.292581311
180	0.2923839527
181	0.2921928201
182	0.2919391327
183	0.2914471807
184	0.2911940266
185	0.2906300965
186	0.2903781466
187	0.289955482
188	0.2894511562
189	0.2892188585
190	0.2888599199
191	0.288541729
192	0.2880767343
193	0.2877909601
194	0.2874161065
195	0.2871539422
196	0.2868943749
197	0.2864788341
198	0.2862303267
199	0.2859976874
200	0.2857162357
201	0.2854046584
202	0.285205165
203	0.2849979881
204	0.2848018372
205	0.2845020422
206	0.2842363279
207	0.2839855079
208	0.2834280199
209	0.283150397
210	0.2829676212
211	0.2827071173
212	0.2824812493
213	0.2822293151
214	0.2820015486
215	0.2815970565
216	0.2812137506
217	0.2809374494
218	0.2806219254
219	0.2804300996
220	0.2802487925
221	0.2800285995
222	0.2798619048
223	0.2796685811
224	0.2793232614
225	0.2790705803
226	0.278847634
227	0.2785331758
228	0.2782346396
229	0.2780911348
230	0.277787816
231	0.2775147357
232	0.2772394832
233	0.2770510081
234	0.276796699
235	0.2763861854
236	0.2762433542
237	0.2760524806
238	0.2757548392
239	0.2756169073
240	0.2750291298
241	0.2748507984
242	0.2745539949
243	0.2743428753
244	0.2738191569
245	0.2735188121
246	0.2731118544
247	0.272943625
248	0.2727329839
249	0.2725195346
250	0.2719633882
251	0.2716989579
252	0.2715116197
253	0.2713875257
254	0.2711983318
255	0.2710151003
256	0.2706992412
257	0.2704969166
258	0.2703840276
259	0.270243239
260	0.2698992352
261	0.2696975675
262	0.2694306937
263	0.2691712142
264	0.2688051701
265	0.2685456266
266	0.2682221181
267	0.2678957911
268	0.2676146843
269	0.2673411729
270	0.2668509992
271	0.2666829127
272	0.2665033162
273	0.2663694753
274	0.2659548451
275	0.2658115849
276	0.2656835069
277	0.2655204804
278	0.2651345008
279	0.2649544082
280	0.2647329606
281	0.2643549434
282	0.2640193855
283	0.2638124223
284	0.2635745551
285	0.2633239768
286	0.2630769684
287	0.2627709629
288	0.2624007815
289	0.2621953914
290	0.2620313448
291	0.2617586692
292	0.2613573337
293	0.2610032527
294	0.2608172506
295	0.2605607485
296	0.2604053746
297	0.2601422686
298	0.2598382862
299	0.2595390592
300	0.259277136
301	0.2591154713
302	0.2587903587
303	0.2585576086
304	0.2583771191
305	0.2582072469
306	0.258048589
307	0.2578923581
308	0.2575851254
309	0.2573804462
310	0.2572154673
311	0.2569390279
312	0.2566610613
313	0.2564377412
314	0.2561757818
315	0.2560534781
316	0.2557013064
317	0.2555289261
318	0.2553221738
319	0.2550712467
320	0.2549375131
321	0.2546286132
322	0.2543347302
323	0.2540566174
324	0.253861388
325	0.2535907733
