iter	Passed	Remaining
0	2	2392
1	4	2238
2	6	2091
3	8	2056
4	10	2055
5	12	2022
6	14	1988
7	16	1991
8	18	1992
9	20	1988
10	21	1966
11	23	1954
12	25	1949
13	27	1942
14	29	1946
15	31	1940
16	33	1943
17	35	1943
18	37	1925
19	39	1923
20	41	1923
21	43	1935
22	45	1936
23	47	1933
24	49	1937
25	51	1930
26	53	1933
27	55	1935
28	57	1941
29	59	1938
30	61	1935
31	63	1930
32	66	1938
33	68	1937
34	70	1932
35	71	1925
36	73	1922
37	75	1914
38	77	1907
39	79	1900
40	81	1897
41	83	1895
42	84	1887
43	86	1871
44	87	1867
45	89	1862
46	91	1858
47	93	1856
48	95	1850
49	97	1849
50	99	1845
51	100	1840
52	102	1838
53	104	1836
54	106	1831
55	108	1826
56	110	1820
57	111	1816
58	113	1815
59	115	1812
60	117	1805
61	119	1804
62	121	1805
63	123	1800
64	124	1795
65	126	1790
66	128	1790
67	130	1785
68	132	1782
69	133	1777
70	135	1776
71	137	1776
72	139	1772
73	141	1767
74	143	1763
75	144	1760
76	146	1756
77	148	1752
78	150	1749
79	152	1748
80	153	1746
81	155	1743
82	157	1740
83	159	1738
84	161	1736
85	163	1733
86	165	1731
87	166	1728
88	168	1725
89	170	1722
90	172	1720
91	174	1719
92	176	1719
93	178	1716
94	180	1716
95	182	1714
96	184	1713
97	186	1712
98	187	1710
99	189	1709
100	191	1707
101	193	1706
102	195	1703
103	197	1699
104	199	1697
105	201	1696
106	203	1694
107	204	1692
108	207	1692
109	209	1692
110	211	1690
111	213	1689
112	215	1691
113	217	1689
114	219	1686
115	221	1684
116	223	1685
117	225	1683
118	227	1680
119	228	1679
120	231	1679
121	232	1676
122	234	1675
123	237	1674
124	239	1675
125	241	1673
126	243	1671
127	245	1670
128	247	1669
129	249	1666
130	250	1663
131	252	1661
132	254	1661
133	256	1658
134	258	1656
135	260	1653
136	262	1650
137	263	1648
138	265	1645
139	267	1642
140	269	1639
141	270	1637
142	272	1634
143	274	1631
144	276	1628
145	278	1626
146	279	1624
147	281	1621
148	283	1619
149	285	1617
150	287	1615
151	289	1613
152	291	1611
153	293	1610
154	295	1609
155	297	1608
156	299	1606
157	301	1607
158	303	1605
159	305	1604
160	307	1602
161	309	1602
162	311	1600
163	313	1597
164	315	1595
165	317	1594
166	319	1592
167	321	1590
168	322	1588
169	325	1587
170	327	1585
171	329	1584
172	331	1582
173	333	1581
174	335	1579
175	337	1579
176	339	1577
177	341	1576
178	343	1576
179	345	1575
180	348	1575
181	350	1575
182	352	1574
183	355	1574
184	357	1574
185	359	1572
186	361	1570
187	363	1568
188	365	1568
189	367	1567
190	369	1566
191	372	1566
192	374	1565
193	376	1564
194	378	1562
195	380	1562
196	382	1560
197	384	1558
198	386	1556
199	388	1554
200	390	1552
201	392	1550
202	394	1548
203	396	1546
204	398	1545
205	400	1543
206	402	1541
207	404	1540
208	406	1539
209	408	1537
210	410	1534
211	412	1533
212	414	1531
213	416	1529
214	418	1526
215	420	1525
216	422	1523
217	424	1521
218	426	1519
219	428	1517
220	430	1515
221	432	1514
222	433	1511
223	436	1510
224	438	1509
225	440	1507
226	442	1505
227	444	1504
228	446	1502
229	448	1500
230	449	1497
231	452	1496
232	453	1494
233	455	1491
234	457	1489
235	459	1487
236	461	1485
237	463	1483
238	465	1481
239	467	1479
240	469	1477
241	470	1475
242	472	1472
243	474	1470
244	476	1468
245	478	1466
246	480	1463
247	482	1461
248	484	1460
249	486	1458
250	488	1456
251	490	1455
252	492	1453
253	494	1451
254	496	1449
255	498	1448
256	500	1445
257	502	1444
258	504	1442
259	506	1440
260	508	1438
261	510	1437
262	512	1435
263	514	1433
264	516	1431
265	518	1430
266	519	1427
267	521	1425
268	523	1423
269	525	1420
270	527	1418
271	529	1416
272	531	1414
273	532	1412
274	534	1409
275	536	1407
276	538	1405
277	540	1402
278	541	1400
279	543	1398
280	545	1396
281	547	1393
282	549	1391
283	551	1389
284	561	1409
285	563	1407
286	565	1404
287	567	1402
288	569	1400
289	571	1398
290	573	1396
291	575	1394
292	576	1392
293	578	1389
294	580	1387
295	582	1384
296	584	1382
297	586	1381
298	588	1378
299	589	1376
300	591	1374
301	593	1372
302	595	1370
303	597	1368
304	599	1365
305	601	1364
306	603	1362
307	605	1360
308	607	1358
309	609	1357
310	611	1354
311	613	1352
312	615	1350
313	617	1348
314	619	1346
315	620	1344
316	622	1342
317	624	1340
318	626	1338
319	628	1336
320	630	1333
321	632	1332
322	634	1330
323	636	1328
324	638	1326
325	640	1325
326	642	1323
327	644	1321
328	646	1319
329	648	1317
330	650	1315
331	652	1313
332	654	1311
333	656	1309
334	658	1307
335	660	1305
336	662	1303
337	664	1301
338	666	1299
339	668	1297
340	670	1295
341	672	1293
342	674	1291
343	676	1290
344	678	1288
345	680	1286
346	682	1284
347	684	1282
348	686	1281
349	688	1279
350	690	1277
351	692	1275
352	694	1273
353	696	1271
354	698	1269
355	700	1267
356	703	1266
357	704	1264
358	707	1262
359	708	1260
360	711	1258
361	712	1256
362	714	1254
363	716	1252
364	718	1250
365	720	1248
366	722	1246
367	724	1244
368	726	1242
369	728	1240
370	730	1238
371	732	1236
372	734	1234
373	736	1232
374	738	1230
375	740	1228
376	741	1226
377	744	1224
378	746	1222
379	747	1220
380	749	1218
381	751	1216
382	753	1214
383	755	1212
384	757	1210
385	760	1209
386	761	1206
387	763	1204
388	765	1202
389	767	1200
390	769	1198
391	771	1196
392	773	1194
393	775	1193
394	777	1190
395	779	1188
396	781	1187
397	783	1185
398	785	1183
399	787	1181
400	789	1179
401	791	1177
402	793	1175
403	795	1172
404	797	1171
405	799	1169
406	801	1167
407	802	1164
408	804	1163
409	806	1161
410	808	1158
411	810	1156
412	812	1155
413	814	1153
414	816	1151
415	818	1149
416	820	1147
417	822	1145
418	824	1143
419	826	1141
420	829	1140
421	830	1138
422	832	1135
423	834	1133
424	836	1131
425	838	1130
426	840	1128
427	842	1126
428	844	1124
429	845	1121
430	847	1119
431	849	1116
432	851	1114
433	853	1112
434	855	1110
435	856	1108
436	858	1106
437	860	1104
438	862	1102
439	864	1100
440	866	1097
441	868	1095
442	870	1094
443	872	1092
444	874	1090
445	876	1088
446	878	1086
447	880	1084
448	881	1082
449	883	1080
450	885	1078
451	887	1076
452	889	1074
453	892	1072
454	894	1071
455	895	1068
456	897	1066
457	900	1065
458	902	1063
459	904	1061
460	906	1059
461	908	1057
462	910	1056
463	912	1054
464	914	1052
465	917	1050
466	919	1049
467	921	1047
468	923	1045
469	925	1043
470	927	1041
471	929	1039
472	931	1037
473	933	1035
474	935	1033
475	937	1031
476	939	1030
477	941	1028
478	943	1026
479	945	1024
480	947	1022
481	949	1020
482	951	1018
483	953	1016
484	955	1014
485	957	1013
486	959	1011
487	962	1009
488	964	1007
489	966	1005
490	968	1003
491	970	1002
492	972	1000
493	974	998
494	976	996
495	978	994
496	980	992
497	982	989
498	983	987
499	985	985
500	987	983
501	989	981
502	991	979
503	993	977
504	995	975
505	997	973
506	999	971
507	1001	969
508	1003	967
509	1004	965
510	1006	963
511	1008	961
512	1011	959
513	1012	957
514	1014	955
515	1017	953
516	1018	951
517	1020	949
518	1022	947
519	1025	946
520	1026	944
521	1028	942
522	1030	939
523	1032	937
524	1034	935
525	1035	933
526	1037	931
527	1039	929
528	1041	927
529	1043	925
530	1045	923
531	1047	921
532	1048	919
533	1050	917
534	1052	915
535	1054	912
536	1056	911
537	1058	909
538	1060	907
539	1062	905
540	1064	903
541	1066	901
542	1068	899
543	1070	897
544	1072	895
545	1074	893
546	1076	891
547	1078	889
548	1080	887
549	1082	886
550	1084	884
551	1086	882
552	1088	880
553	1090	878
554	1092	876
555	1095	874
556	1097	872
557	1099	870
558	1100	868
559	1102	866
560	1104	864
561	1106	862
562	1108	860
563	1110	858
564	1112	856
565	1114	854
566	1116	852
567	1118	850
568	1120	848
569	1122	846
570	1124	845
571	1127	843
572	1129	841
573	1131	840
574	1134	838
575	1136	836
576	1138	834
577	1140	832
578	1141	830
579	1143	828
580	1145	826
581	1147	824
582	1149	822
583	1151	820
584	1153	818
585	1155	816
586	1157	814
587	1159	812
588	1161	810
589	1163	808
590	1164	806
591	1166	804
592	1168	802
593	1170	800
594	1172	798
595	1174	796
596	1176	794
597	1178	792
598	1180	789
599	1182	788
600	1184	786
601	1185	783
602	1187	781
603	1189	779
604	1191	777
605	1193	775
606	1195	773
607	1197	771
608	1199	769
609	1200	767
610	1202	765
611	1204	763
612	1206	761
613	1208	759
614	1210	757
615	1212	755
616	1214	753
617	1216	751
618	1218	749
619	1220	747
620	1222	745
621	1224	743
622	1226	741
623	1228	740
624	1230	738
625	1232	736
626	1234	734
627	1237	732
628	1239	730
629	1241	729
630	1243	727
631	1245	725
632	1247	723
633	1249	721
634	1252	719
635	1254	718
636	1257	716
637	1259	714
638	1261	712
639	1263	710
640	1265	708
641	1267	706
642	1269	704
643	1271	702
644	1273	700
645	1275	698
646	1277	696
647	1279	694
648	1280	692
649	1282	690
650	1284	688
651	1286	686
652	1288	684
653	1290	682
654	1292	680
655	1294	678
656	1296	676
657	1298	674
658	1300	672
659	1301	670
660	1303	668
661	1305	666
662	1307	664
663	1309	662
664	1311	660
665	1313	658
666	1315	656
667	1317	654
668	1318	652
669	1320	650
670	1322	648
671	1325	646
672	1326	644
673	1328	642
674	1330	640
675	1332	638
676	1334	636
677	1336	634
678	1338	632
679	1340	630
680	1341	628
681	1343	626
682	1345	624
683	1347	622
684	1349	620
685	1351	618
686	1353	616
687	1356	614
688	1358	613
689	1360	611
690	1362	609
691	1364	607
692	1366	605
693	1368	603
694	1370	601
695	1372	599
696	1374	597
697	1376	595
698	1378	593
699	1381	592
700	1383	590
701	1385	588
702	1387	586
703	1389	584
704	1391	582
705	1393	580
706	1395	578
707	1397	576
708	1399	574
709	1401	572
710	1403	570
711	1406	568
712	1408	566
713	1410	565
714	1412	563
715	1415	561
716	1417	559
717	1419	557
718	1421	555
719	1423	553
720	1425	551
721	1427	549
722	1429	547
723	1431	545
724	1434	543
725	1435	541
726	1438	540
727	1440	538
728	1442	536
729	1444	534
730	1446	532
731	1448	530
732	1450	528
733	1452	526
734	1454	524
735	1456	522
736	1458	520
737	1460	518
738	1462	516
739	1464	514
740	1466	512
741	1468	510
742	1470	508
743	1471	506
744	1474	504
745	1476	502
746	1477	500
747	1479	498
748	1482	496
749	1483	494
750	1485	492
751	1487	490
752	1489	488
753	1491	486
754	1493	484
755	1495	482
756	1497	480
757	1500	478
758	1502	476
759	1504	475
760	1506	473
761	1508	471
762	1510	469
763	1512	467
764	1514	465
765	1516	463
766	1518	461
767	1520	459
768	1522	457
769	1523	455
770	1525	453
771	1527	451
772	1536	451
773	1538	449
774	1540	447
775	1541	445
776	1544	443
777	1546	441
778	1548	439
779	1549	437
780	1551	435
781	1553	433
782	1555	431
783	1557	429
784	1559	427
785	1561	425
786	1563	423
787	1565	421
788	1567	419
789	1569	417
790	1571	415
791	1573	413
792	1576	411
793	1578	409
794	1580	407
795	1582	405
796	1584	403
797	1586	401
798	1588	399
799	1590	397
800	1592	395
801	1594	393
802	1596	391
803	1598	389
804	1600	387
805	1602	385
806	1604	383
807	1606	381
808	1608	379
809	1610	377
810	1612	375
811	1614	373
812	1616	371
813	1618	369
814	1621	367
815	1623	366
816	1625	364
817	1627	362
818	1629	360
819	1631	358
820	1633	356
821	1635	354
822	1637	352
823	1639	350
824	1641	348
825	1643	346
826	1645	344
827	1647	342
828	1649	340
829	1650	338
830	1652	336
831	1654	334
832	1656	332
833	1658	330
834	1660	328
835	1662	326
836	1664	324
837	1666	322
838	1668	320
839	1670	318
840	1673	316
841	1675	314
842	1677	312
843	1679	310
844	1681	308
845	1682	306
846	1684	304
847	1687	302
848	1688	300
849	1690	298
850	1692	296
851	1694	294
852	1696	292
853	1698	290
854	1700	288
855	1702	286
856	1704	284
857	1706	282
858	1708	280
859	1710	278
860	1712	276
861	1714	274
862	1716	272
863	1718	270
864	1720	268
865	1722	266
866	1724	264
867	1727	262
868	1728	260
869	1730	258
870	1733	256
871	1735	254
872	1736	252
873	1738	250
874	1741	248
875	1743	246
876	1744	244
877	1746	242
878	1749	240
879	1751	238
880	1752	236
881	1754	234
882	1757	232
883	1759	230
884	1761	228
885	1762	226
886	1765	224
887	1767	222
888	1769	220
889	1770	218
